"Regiao","faixa_etaria","total_mil","total_mil_se","total_mil_cv","ano","alerta_cv"
"Brasil","15-17",111.64623095589,9.35059712185407,0.0837520177958213,2024,FALSE
"Brasil","15-17",117.78649002493,10.871199498378,0.0922958099530519,2025,FALSE
"Brasil","18-24",2012.72727436943,42.3832036979919,0.0210575989294278,2024,FALSE
"Brasil","18-24",1828.09699330271,47.2744383919608,0.0258599180268619,2025,FALSE
"Brasil","25-29",1943.9395057587,39.7780803295148,0.020462612242653,2024,FALSE
"Brasil","25-29",1786.33251731441,41.6536923957389,0.0233179948257122,2025,FALSE
"Centro-Oeste","15-17",10.72830985124,2.28806010005669,0.213273118672298,2024,TRUE
"Centro-Oeste","15-17",12.17351998845,2.47162518208603,0.203032909497915,2025,TRUE
"Centro-Oeste","18-24",166.74963541075,10.0058906901834,0.0600054726688674,2024,FALSE
"Centro-Oeste","18-24",175.52544027902,11.1312942786308,0.063416985372241,2025,FALSE
"Centro-Oeste","25-29",158.91110043499,10.0084132589938,0.062981209189274,2024,FALSE
"Centro-Oeste","25-29",142.27510110061,9.70900208316377,0.0682410485605492,2025,FALSE
"Nordeste","15-17",22.41259103767,3.00649337453283,0.134143052424401,2024,FALSE
"Nordeste","15-17",27.95820429596,4.09580106721787,0.146497286587527,2025,FALSE
"Nordeste","18-24",548.99037142782,20.5220543113105,0.0373814467054067,2024,FALSE
"Nordeste","18-24",478.93472464714,20.4548557264498,0.0427090680082138,2025,FALSE
"Nordeste","25-29",610.63532666263,21.1590955434367,0.0346509522452291,2024,FALSE
"Nordeste","25-29",552.9618466823,23.3639326533196,0.0422523412664006,2025,FALSE
"Norte","15-17",15.46350184968,3.20757988370456,0.207429074920112,2024,TRUE
"Norte","15-17",15.49445166332,2.70351442803926,0.174482743034998,2025,FALSE
"Norte","18-24",207.76454564083,12.0404481901959,0.0579523717728559,2024,FALSE
"Norte","18-24",187.47884185939,12.3531702419247,0.0658910099902881,2025,FALSE
"Norte","25-29",198.66651737416,11.9782845813244,0.0602934240738968,2024,FALSE
"Norte","25-29",185.23934502272,11.9996311052872,0.064779062481653,2025,FALSE
"Sudeste","15-17",46.32029337142,7.47140326037223,0.161298703366636,2024,FALSE
"Sudeste","15-17",47.87900336211,9.11416564241149,0.190358299095761,2025,FALSE
"Sudeste","18-24",695.75422089102,32.7844532080656,0.047120739226102,2024,FALSE
"Sudeste","18-24",680.46454741066,36.3718193568737,0.0534514538564539,2025,FALSE
"Sudeste","25-29",653.3095053771,29.7638325524603,0.0455585481421707,2024,FALSE
"Sudeste","25-29",620.30636190221,27.9260815150156,0.0450198212208859,2025,FALSE
"Sul","15-17",16.72153484588,2.9935827505717,0.179025596523472,2024,FALSE
"Sul","15-17",14.28131071509,2.72244806682192,0.190630126403266,2025,FALSE
"Sul","18-24",393.46850099901,20.2507790351091,0.0514673448667243,2024,FALSE
"Sul","18-24",305.6934391065,16.4588993193414,0.0538411925602606,2025,FALSE
"Sul","25-29",322.41705590982,16.5205274406479,0.0512396200443833,2024,FALSE
"Sul","25-29",285.54986260657,15.1465901276048,0.053043591018896,2025,FALSE
