"faixa_renda_detalhada","total_mil","total_mil_se","total_mil_cv","ano","alerta_cv"
"1 a 2 SM",18.49766106738,3.3299749375431,0.180021405161077,2019,FALSE
"1 a 2 SM",23.68656101958,5.58798564606435,0.235913758921996,2022,TRUE
"1 a 2 SM",19.97701585303,4.21958973229414,0.211222224747553,2023,TRUE
"1 a 2 SM",27.42112232638,5.77096587859304,0.210456953946089,2024,TRUE
"1 a 2 SM",24.83281344695,4.78924736424341,0.19285963608089,2025,FALSE
"1/2 a 1 SM",33.58446520385,4.68252705521446,0.139425386910067,2019,FALSE
"1/2 a 1 SM",40.15621587881,6.01040040823821,0.14967546808637,2022,FALSE
"1/2 a 1 SM",57.13258915274,6.86838179938294,0.12021828349177,2023,FALSE
"1/2 a 1 SM",36.70455918991,4.72691166652727,0.128782684518023,2024,FALSE
"1/2 a 1 SM",38.07003690561,5.35878360770425,0.140761187623503,2025,FALSE
"1/4 a 1/2 SM (elegível)",36.04987427042,5.47626603433231,0.151908048090635,2019,FALSE
"1/4 a 1/2 SM (elegível)",33.05988042613,4.69353986674745,0.141970866386974,2022,FALSE
"1/4 a 1/2 SM (elegível)",32.42203583367,4.74009122284426,0.146199678735834,2023,FALSE
"1/4 a 1/2 SM (elegível)",28.32907861929,5.39295523278064,0.190368183351662,2024,FALSE
"1/4 a 1/2 SM (elegível)",27.48392845809,4.41737355307316,0.160725696830756,2025,FALSE
"Acima de 2 SM",2.16563124651,1.6508263527795,0.762284140220025,2019,TRUE
"Acima de 2 SM",1.992544998,1.01744704650899,0.510626885480749,2022,TRUE
"Acima de 2 SM",7.53030776901,2.79456650841151,0.371109202191202,2023,TRUE
"Acima de 2 SM",2.27197260294,1.38464466786121,0.609446023279258,2024,TRUE
"Acima de 2 SM",6.81116535926,5.21984405386625,0.766365780089262,2025,TRUE
"Até 1/4 SM (elegível)",28.7611312901,3.82727587300596,0.133071117210308,2019,FALSE
"Até 1/4 SM (elegível)",19.31133173972,3.65416718734587,0.189223987066096,2022,FALSE
"Até 1/4 SM (elegível)",15.67334432638,2.9296364313627,0.186918399185029,2023,FALSE
"Até 1/4 SM (elegível)",16.76718845624,2.98447231144242,0.177994797352667,2024,FALSE
"Até 1/4 SM (elegível)",20.29678930857,4.8696930128657,0.239924302254522,2025,TRUE
