"ano","faixa_renda_detalhada","total_mil","participacao_pct"
2019,"1 a 2 SM",33.98762180475,0.0531053005410797
2019,"1/2 a 1 SM",183.16336355673,0.28619082340253
2019,"1/4 a 1/2 SM (elegível)",196.43241463154,0.30692357573427
2019,"Acima de 2 SM",9.55174324847,0.0149244980662441
2019,"Até 1/4 SM (elegível)",216.86917757878,0.338855802255877
2022,"1 a 2 SM",44.21683130655,0.0964789092276747
2022,"1/2 a 1 SM",132.60275506058,0.289332563885783
2022,"1/4 a 1/2 SM (elegível)",156.90101583241,0.342350150766743
2022,"Acima de 2 SM",6.13518450461,0.0133866650192915
2022,"Até 1/4 SM (elegível)",118.44988507957,0.258451711100507
2023,"1 a 2 SM",50.12692045128,0.0976846537358119
2023,"1/2 a 1 SM",157.9368918238,0.307778942951688
2023,"1/4 a 1/2 SM (elegível)",172.7123421865,0.336572548054037
2023,"Acima de 2 SM",12.6802817951,0.0247106529839743
2023,"Até 1/4 SM (elegível)",119.69397718337,0.23325320227449
2024,"1 a 2 SM",55.91848611188,0.129795092035403
2024,"1/2 a 1 SM",143.16714947067,0.332312167836819
2024,"1/4 a 1/2 SM (elegível)",138.57762443427,0.321659200170519
2024,"Acima de 2 SM",7.80743687944,0.0181222178708487
2024,"Até 1/4 SM (elegível)",85.35057095744,0.19811132208641
2025,"1 a 2 SM",66.10790273479,0.150823536656839
2025,"1/2 a 1 SM",156.88588951492,0.357931256768518
2025,"1/4 a 1/2 SM (elegível)",120.54336507986,0.275016690739656
2025,"Acima de 2 SM",11.39826100508,0.0260048491240245
2025,"Até 1/4 SM (elegível)",83.37748825898,0.190223666710963
